ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,xd_ids,Glottolog_Name
Agta,Agta,,17.9571,121.857,cent2084,,xd908,Central Cagayan Agta
Aiwoo,Aiwoo,,-10.30387,166.32344,ayiw1239,,,Äiwoo
AklanonBisayan,AklanonBisayan,,11.5543,122.354,akla1241,,xd741,Kailibo Aklanon
Alune,Alune,,-3.11477,128.394,alun1238,,,Alune
AmbaiYapen,AmbaiYapen,,-1.88126,136.526,amba1265,,,Ambai
AmbrymSouthEast,AmbrymSouthEast,,-16.2975,168.211,sout2859,,,Southeast Ambrym
Anakalang,Anakalang,,-9.63425,119.605,anak1240,,,Anakalang
AnejomAneityum,AnejomAneityum,,-20.1864,169.825,anei1239,,,Aneityum
Anuta,Anuta,,-11.61,169.85,anut1237,,,Anuta
Aputai,Aputai,,-7.84732,126.496,aput1237,,,Aputai
ArakiSouthwestSanto,ArakiSouthwestSanto,,-15.632997,166.952542,arak1252,,,Araki
Aria,Aria,,-5.71155,149.158,mouk1239,,,Mouk-Aria
As,As,,-0.75267,131.728,asss1237,,,As
Asumboa,Asumboa,,-11.2969,166.499,asum1237,,,Asumboa
Atoni,Atoni,,-9.77284,124.144,uabm1237,,,Uab Meto
AttaPamplona,AttaPamplona,,18.4738,121.3,pamp1244,,,Pamplona Atta
Avava,Avava,,-16.2701,167.484,katb1237,,,Avava
Babatana,Babatana,,-7.22281,157.149,baba1268,,,Babatana
Babuyan,Babuyan,,19.48,121.96,babu1242,,,Babuyan
Bajo,Bajo,,-3.68664,122.253,indo1317,,xd736,Indonesian Bajau
Balangaw,Balangaw,,17.0994,121.272,bala1310,,,Balangao
Bali,Bali,,-8.35714,115.075,bali1278,,,Balinese
Baliledo,Baliledo,,,,,,,
BanggaiW_D,BanggaiW_D,,-1.58305,123.171,bang1368,,,Banggai
BanjareseMalay,BanjareseMalay,,0.747105,115.79,banj1239,,,Banjar
Banoni,Banoni,,-6.23061,155.128,bann1247,,,Bannoni
Bantik,Bantik,,1.44586,124.846,bant1286,,,Bantik
Baree,Baree,,-1.62663,121.268,pamo1252,,,Pamona
Basai,Basai,,25.0046,121.857,basa1287,,,Basay
Belait,Belait,,4.96207,114.933,bela1260,,,Lemeting
BerawanLongTerawan,BerawanLongTerawan,,3.9815,114.528,west2564,,,West Berawan
BigaMisool,BigaMisool,,-1.8801,130.075,matb1237,,,Matbat
BikolNagaCity,BikolNagaCity,,13.7574,123.403,cent2087,,,Coastal-Naga Bikol
Bilibil,Bilibil,,-5.26505,145.764,bilb1241,,,Bilibil
Bima,Bima,,-8.57376,118.445,bima1247,,,Bima
Bintulu,Bintulu,,3.867,113.634,bint1246,,,Bintulu
Binukid,Binukid,,8.15933,124.892,binu1244,,,Talaandig-Binukid
Bobot,Bobot,,-3.43514,130.179,bobo1254,,,Bobot
BolaangMongondow,BolaangMongondow,,0.64616,124.114,mong1342,,,Mongondow
Bonerate,Bonerate,,-7.37657,121.792,bone1254,,,Bonerate
Bonfia,Bonfia,,-3.29547,130.601,masi1266,,,Masiwang
BontokGuinaang,BontokGuinaang,,,,guin1256,,,Guinaang Bontoc
BugineseSoppeng_D,BugineseSoppeng_D,,-4.47,119.977,bugi1244,,,Buginese
Bugotu,Bugotu,,-8.47948,159.802,bugh1239,,,Bughotu
Bukat,Bukat,,1.29075,113.246,buka1261,,,Bukat
Buli,Buli,,1.0008,128.443,buli1255,,,Buli (Indonesia)
Buma,Buma,,-11.6752,166.868,tean1237,,,Teanu
Bunun,Bunun,,23.4116,121.025,bunu1267,,xd733,Bunun
BuruNamroleBay,BuruNamroleBay,,-3.43957,126.632,buru1303,,,Buru (Indonesia)
Buyang,Buyang,,23.604572,106.030277,emab1235,,,E'ma Buyang
Bwaidoga,Bwaidoga,,-9.51158,150.297,bwai1242,,xd848,Bwaidoka
Canala,Canala,,-21.7034,165.996,xara1244,,,Xârâcùù
Carolinian,Carolinian,,15.205,145.765,caro1242,,,Carolinian
Cebuano,Cebuano,,8.38799,124.367,cebu1242,,xd735,Cebuano
CentralAmis,CentralAmis,,23.0917,121.348,amis1246,,xd749,Amis
CentralMasela,CentralMasela,,-8.15414,129.865,cent2072,,,Central Masela
Chamorro,Chamorro,,13.438011,144.74474,cham1312,,xd839,Chamorro
ChekeHolo,ChekeHolo,,-8.27055,159.625,chek1238,,,Cheke Holo
Chru,Chru,,11.6625,108.529,chru1239,,,Chru
Chuukese,Chuukese,,7.346993,151.598607,chuu1238,,,Chuukese
ChuukeseAKATrukese,ChuukeseAKATrukese,,7.346993,151.598607,chuu1238,,xd833,Chuukese
CiuliAtayal,CiuliAtayal,,24.5209,121.388,atay1247,,xd732,Atayal
Dai,Dai,,-7.55894,129.687,daii1240,,,Dai
DaweraDaweloor,DaweraDaweloor,,-7.76324,130.06,dawe1237,,,Dawera-Daweloor
DayakBakatiqSaraRiok,DayakBakatiqSaraRiok,,1.3307,109.576,beka1241,,,Riuk Bekati'
DayakNgaju,DayakNgaju,,-1.58463,112.794,ngaj1237,,,Ngaju
Dehu,Dehu,,-20.8892,167.229,dehu1237,,xd873,Dehu
Diodio,Diodio,,-9.38654,150.168,diod1237,,,Diodio
